Year	O2debt
1850	3.28372
1851	2.4496
1852	3.52974
1853	3.40977
1854	4.21472
1855	3.25374
1856	3.9938
1857	2.73305
1858	2.16192
1859	2.51862
1860	3.90486
1861	4.75319
1862	3.70872
1863	2.12866
1864	2.40076
1865	4.16161
1866	1.89778
1867	2.69226
1868	3.60409
1869	2.94935
1870	3.47844
1871	4.51847
1872	4.48369
1873	4.29089
1874	2.09131
1875	4.22726
1876	4.77128
1877	5.66512
1878	4.85723
1879	5.15326
1880	4.20983
1881	4.66446
1882	2.56178
1883	4.69371
1884	4.43575
1885	3.97707
1886	4.44356
1887	3.15091
1888	4.54604
1889	4.4511
1890	3.80008
1891	4.26882
1892	4.10705
1893	4.81832
1894	3.52966
1895	4.66612
1896	3.60927
1897	4.54499
1898	3.87007
1899	4.13928
1900	4.53866
1901	4.69855
1902	4.91228
1903	5.04097
1904	4.57412
1905	3.93465
1906	3.04164
1907	4.79771
1908	4.93699
1909	4.75524
1910	4.68574
1911	4.64542
1912	4.65218
1913	3.92959
1914	2.06561
1915	2.11158
1916	4.34513
1917	5.64445
1918	5.00541
1919	4.45332
1920	4.34717
1921	4.73426
1922	4.96959
1923	4.11626
1924	5.5275
1925	3.88836
1926	4.76496
1927	3.96704
1928	5.2259
1929	6.62277
1930	4.5126
1931	5.14949
1932	2.39094
1933	3.13481
1934	3.1521
1935	3.00279
1936	3.2439
1937	3.5358
1938	4.12671
1939	3.96607
1940	6.4307
1941	7.36852
1942	8.3495
1943	6.18815
1944	4.99448
1945	5.6722
1946	5.78236
1947	7.22892
1948	7.71156
1949	4.35318
1950	5.63741
1951	6.91442
1952	6.39053
1953	6.40726
1954	7.08111
1955	5.43169
1956	6.54168
1957	5.75369
1958	6.91778
1959	6.66363
1960	8.08946
1961	7.0565
1962	5.74673
1963	8.76397
1964	7.8529
1965	8.73378
1966	9.25957
1967	8.58074
1968	9.60425
1969	9.95274
1970	9.54946
1971	9.56572
1972	9.69424
1973	5.81507
1974	5.76899
1975	6.34182
1976	4.06926
1977	5.6043
1978	7.23605
1979	9.86707
1980	10.1651
1981	9.52782
1982	11.7049
1983	5.53202
1984	3.61875
1985	9.37114
1986	11.9683
1987	12.9524
1988	10.6037
1989	3.54074
1990	4.58126
1991	5.16449
1992	2.86702
1993	2.8694
1994	5.77214
1995	3.5826
1996	9.39784
1997	9.01835
1998	6.96551
1999	8.45271
2000	4.84769
2001	6.69894
2002	6.47463
2003	9.92842
2004	7.84391
2005	6.7528
2006	7.82761
2007	3.5246
2008	6.6959
2009	6.86108
2010	7.62907
2011	10.5685
2012	8.78107
2013	5.91358
2014	7.68361
2015	10.1023
2016	11.2692
2017	10.1925
2018	6.01355
2019	5.72298
2020	8.26588
2021	8.0864
