Year	O2debt
1850	5.24918
1851	5.32102
1852	5.20627
1853	5.27101
1854	5.44043
1855	5.29033
1856	5.33812
1857	5.29596
1858	5.53965
1859	5.22068
1860	5.08566
1861	5.34711
1862	5.43066
1863	5.18843
1864	4.9724
1865	4.97452
1866	4.98001
1867	4.99142
1868	4.92637
1869	5.09567
1870	5.08736
1871	5.38524
1872	5.49875
1873	5.6921
1874	5.47658
1875	5.44687
1876	5.59726
1877	5.45052
1878	5.36794
1879	5.56908
1880	5.6731
1881	5.77465
1882	5.66736
1883	5.67619
1884	5.54782
1885	5.80174
1886	5.64842
1887	5.67033
1888	5.60238
1889	5.4699
1890	5.46737
1891	5.52553
1892	5.43444
1893	5.38804
1894	5.2879
1895	5.35342
1896	5.33179
1897	5.46388
1898	5.52887
1899	5.3251
1900	5.45141
1901	5.67037
1902	5.6519
1903	5.46301
1904	5.55741
1905	5.4641
1906	5.3182
1907	5.50045
1908	5.40539
1909	5.42168
1910	5.51742
1911	5.64616
1912	5.83708
1913	5.7341
1914	5.65891
1915	5.90028
1916	5.7203
1917	5.69759
1918	5.6294
1919	5.87035
1920	5.96808
1921	5.96019
1922	5.73611
1923	5.61917
1924	5.78133
1925	5.94926
1926	5.97912
1927	6.07977
1928	6.17391
1929	6.22766
1930	6.14562
1931	5.99422
1932	5.97741
1933	6.11491
1934	6.0792
1935	6.04091
1936	6.05552
1937	6.19359
1938	6.32859
1939	6.35769
1940	6.71969
1941	6.73822
1942	6.88403
1943	6.95755
1944	6.98975
1945	6.86508
1946	6.93053
1947	7.04041
1948	7.09403
1949	6.96031
1950	7.19254
1951	7.20404
1952	7.32024
1953	7.29212
1954	7.3223
1955	7.31238
1956	7.66133
1957	7.59327
1958	7.56327
1959	7.74658
1960	7.98686
1961	8.04824
1962	7.91159
1963	8.1716
1964	8.36969
1965	8.57114
1966	8.61898
1967	8.71996
1968	8.71958
1969	9.16584
1970	9.11254
1971	9.08983
1972	9.3032
1973	9.18409
1974	9.07031
1975	9.41069
1976	9.60683
1977	9.33172
1978	9.09427
1979	9.44026
1980	9.90949
1981	10.0121
1982	10.5717
1983	11.4406
1984	11.7142
1985	11.5997
1986	11.5621
1987	11.5997
1988	11.5765
1989	11.681
1990	11.6697
1991	11.9667
1992	11.0556
1993	10.0265
1994	9.93924
1995	9.6583
1996	10.1652
1997	10.2341
1998	10.2136
1999	10.6204
2000	10.7958
2001	11.6742
2002	12.3835
2003	12.494
2004	11.5304
2005	11.3289
2006	11.8672
2007	12.2343
2008	11.9826
2009	11.8689
2010	12.0711
2011	12.3087
2012	12.2849
2013	11.8528
2014	11.6982
2015	11.8315
2016	11.672
2017	11.7469
2018	11.8461
2019	11.9228
2020	11.9927
2021	11.926
2022	11.3214
2023	10.5996
2024	9.94171
2025	9.8875
2026	9.59914
2027	9.21665
2028	9.25016
2029	8.94466
2030	8.98454
2031	8.84838
2032	8.97645
2033	9.16233
2034	9.29981
2035	9.23576
2036	9.16794
2037	9.40286
2038	9.38423
2039	9.4138
2040	9.45436
2041	8.35252
2042	7.90932
2043	7.94441
2044	8.11942
2045	8.55498
2046	9.17387
2047	9.51765
2048	9.30884
2049	8.85798
2050	8.75924
2051	8.75304
2052	8.54805
2053	8.54318
2054	8.6698
2055	8.89548
2056	8.94471
2057	8.7621
2058	8.25381
2059	7.99132
2060	7.98577
2061	8.27418
2062	8.11512
2063	8.08475
2064	8.22413
2065	7.82579
2066	7.82691
2067	7.84518
2068	7.90083
2069	8.18193
2070	7.6049
2071	7.40367
2072	7.293
2073	7.40378
2074	7.50612
2075	7.52314
2076	7.57115
2077	7.75612
2078	7.8033
2079	7.93512
2080	7.57585
2081	7.45124
2082	7.68595
2083	7.75287
